Company,Website,Industry,Product/service,Business type,Employee count,Revenue,Year founded,BBB rating,Street,City,State,Company phone,Company linkedin,Owner's First Name,Owner's  Last name,Owner's title,Owner's linkedin,Owner's  phone,Owner's  email,Source,Converted
Company_1,www.company_1.com,Retail,Software,B2B,1131,65782867,1964,B,206 Main St,City_72,NY,-7653,https://linkedin.com/company/company_1,First229,Last143,CEO,https://linkedin.com/in/first229last143,-6212,first229.last143@company_1.com,Website,0
Company_2,www.company_2.com,Retail,Financial Services,B2B,1401,31732483,1973,A,230 Main St,City_22,CA,-9225,https://linkedin.com/company/company_2,First31,Last96,CTO,https://linkedin.com/in/first31last96,-6826,first31.last96@company_2.com,Ad Campaign,1
Company_3,www.company_3.com,Manufacturing,Financial Services,B2B,464,76993497,1971,A,352 Main St,City_89,FL,-4791,https://linkedin.com/company/company_3,First430,Last226,VP Sales,https://linkedin.com/in/first430last226,-5102,first430.last226@company_3.com,Webinar,1
Company_4,www.company_4.com,Education,Software,B2B,194,16961870,2011,A,662 Main St,City_55,TX,-3801,https://linkedin.com/company/company_4,First285,Last160,CTO,https://linkedin.com/in/first285last160,-5703,first285.last160@company_4.com,Cold Email,0
Company_5,www.company_5.com,Technology,Software,B2C,845,11059014,1967,A+,487 Main St,City_89,TX,-9960,https://linkedin.com/company/company_5,First619,Last271,CEO,https://linkedin.com/in/first619last271,-4932,first619.last271@company_5.com,Website,1
Company_6,www.company_6.com,Finance,Financial Services,B2B,96,11492366,2009,D,554 Main St,City_44,IL,-10708,https://linkedin.com/company/company_6,First81,Last566,Founder,https://linkedin.com/in/first81last566,-3069,first81.last566@company_6.com,Website,0
Company_7,www.company_7.com,Manufacturing,Medical Equipment,B2B,1030,81300125,1955,B,665 Main St,City_4,CA,-9369,https://linkedin.com/company/company_7,First678,Last234,Founder,https://linkedin.com/in/first678last234,-6212,first678.last234@company_7.com,Referral,0
Company_8,www.company_8.com,Healthcare,Software,B2C,274,36701694,1997,A+,370 Main St,City_72,TX,-3402,https://linkedin.com/company/company_8,First167,Last380,Founder,https://linkedin.com/in/first167last380,-10087,first167.last380@company_8.com,Ad Campaign,1
Company_9,www.company_9.com,Retail,Medical Equipment,B2B,342,36358670,2002,A,891 Main St,City_26,NY,-8509,https://linkedin.com/company/company_9,First547,Last747,CTO,https://linkedin.com/in/first547last747,-9278,first547.last747@company_9.com,Ad Campaign,1
Company_10,www.company_10.com,Finance,Online Courses,B2C,1841,51857120,2020,D,620 Main St,City_88,FL,-7232,https://linkedin.com/company/company_10,First225,Last702,Founder,https://linkedin.com/in/first225last702,-2680,first225.last702@company_10.com,Referral,0
